left,top,width,height,conteudo
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:13,,,
LOCAL:,MOTORES,,,
,,,,
Código,DescriçãoProduto,Embalagem,UN,Referência
813271,CARCAÇADEMOTORBV/PIVOINFERIOR,UNIDADE,UN,"943,00"
401218,"ABRACUVPRETA400X4,8",UNIDADE,UN,"47,00"
401143,"ABRAÇADEIRAUVPRETA100X2,5MENOR",UNIDADE,UN,"6.061,00"
401121,"ABRAÇADEIRAUVPRETA202X3,7",UNIDADE,UN,"3.753,00"
804462,ACABAMENTODOTUBOINOXPIVÔ/BARREIRAARTICULADA,UNIDADE,UN,"1.065,00"
804287,ACABAMENTOPERFILBARREIRAC/FURO,UNIDADE,UN,"114,00"
804256,ACABAMENTOPERFILBARREIRAS/FURO,UNIDADE,UN,"88,00"
603516,ACESSORIOSPARAAUTOMATIZADORBRUSHLESSDCMOTOR-FONTEDEALIMENTAÇAO24V/10A,UNIDADE,UN,"68,00"
603518,ACESSORIOSPARAAUTOMATIZADORBRUSHLESSDCMOTOR-MOLADECONTRA-PESOPARACANCELA1.2,UNIDADE,UN,"406,00"
603519,ACESSORIOSPARAAUTOMATIZADORBRUSHLESSDCMOTOR-MOLADECONTRA-PESOPARACANCELA2.5,UNIDADE,UN,"264,00"
603515,ACESSORIOSPARAAUTOMATIZADORBRUSHLESSDCMOTOR-PAINELCONTROLADOR,UNIDADE,UN,"41,00"
603517,ACESSORIOSPARAAUTOMATIZADORBRUSHLESSDCMOTOR-RECEPTORPARACENTRALBRUSHLESS,UNIDADE,UN,"102,00"
813483,ACIONADORDAMICROCHAVEBVCADENA,UNIDADE,UN,"1.934,00"
2008507,"ACIONAMENTOMOVIMENTADORTRINOBVSPEED1,5M",UNIDADE,UN,AGLMOTORES
2008509,"ACIONAMENTOMOVIMENTADORTRINOBVSPEED2,5M",UNIDADE,UN,AGLMOTORES
2008501,"ACIONAMENTOMOVIMENTADORTRINOBV1,5M",UNIDADE,UN,AGLMOTORES
2013503,"ACIONAMENTOMOVIMENTADORTRINODESLIZANTEHORIZONTAL3,0M",UNIDADE,UN,AGLMOTORES
2013504,"ACIONAMENTOMOVIMENTADORTRINODESLIZANTEHORIZONTAL3,5M",UNIDADE,UN,AGLMOTORES
2008560,"ACIONAMENTOMOVIMENTADORTRINONEWBV1,4MEX",UNIDADE,UN,AGLMOTORES
2008527,"ACIONAMENTOMOVIMENTADORTRINONEWBV1,5M",UNIDADE,UN,AGLMOTORES
2008534,"ACIONAMENTOMOVIMENTADORTRINONEWBV1,5MFUSOØ5/8P/NEWBVTURBO",UNIDADE,UN,AGLMOTORES
2008539,"ACIONAMENTOMOVIMENTADORTRINONEWBV3,0MFUSOØ5/8P/BVTURBO",UNIDADE,UN,AGLMOTORES
202074,AÇOREDLAMINADOØ9/166M1015/1022,QUILOGRAMA,KG,AGLMOTORES
202017,AÇOREDTREFDIN11SMnPb3014.00NBR8647,QUILOGRAMA,KG,AGLMOTORES
202045,AÇOREDTREFSAE102012.00,QUILOGRAMA,KG,AGLMOTORES
202034,AÇOREDTREFSAE102014.29SAEJ403,QUILOGRAMA,KG,AGLMOTORES
202062,AÇOREDTREFSAE10205.00SAE,QUILOGRAMA,KG,AGLMOTORES
813053,ACOPLAMENTODOACIONAMENTOBV,UNIDADE,UN,"3.093,41"
813262,ACOPLAMENTODONEWBV/BV/PIVO,UNIDADE,UN,"2.218,00"
813245,ALAVANCADESTRAVAMENTODZINDUSTRIAL,UNIDADE,UN,"56,00"
813009,ALAVANCAPARADESTRAVAMENTOMANUAL,UNIDADE,UN,"5.522,00"
804188,ALÇADOCONTROLEREMOTOINTER.DIGI.DIGITALKEYBRANCO,UNIDADE,UN,"14.284,00"
804177,ALÇADOCONTROLEREMOTOINTER.DIGI.DIGITALKEYPRETO,UNIDADE,UN,"3.252,00"
103511,"ALOJAM.LUVAPARATERMINALFASTONFêMEA6,3MMRETONATURAL",CT,CT,AGLELETRONICOS
402034,"ANELDERETENÇÃOORINGINTERNO14MMX2,6MM",UNIDADE,UN,"13.974,00"
402032,"ANELDERETENÇÃOORING4,47X1,78MM",UNIDADE,UN,"41.291,00"
Página,1,/,21,
,,,,
Emissãoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:13,,,
LOCAL:,MOTORES,,,
,,,,
Código,DescriçãoProduto,Embalagem,UN,Referência
402015,ANELELASTICOE12,UNIDADE,UN,"55.807,00"
402016,ANELELASTICOE17,UNIDADE,UN,"18.495,00"
402012,ANELELÁSTICOE-20,UNIDADE,UN,"13.714,00"
402023,ANELELÁSTICOE-25X12,UNIDADE,UN,"3.344,00"
208006,ANELENCODER-ROUNDMAGNET,UNIDADE,UN,"3.226,00"
402033,"ANELORING8X2,00MM",UNIDADE,UN,"750,00"
801132,"ARGOLADACHAVE1,00X20,0EXTERNO1.1/2VOLTASZINCADO",UNIDADE,UN,"29.809,00"
813318,ARRUELAEMT,UNIDADE,UN,"7.255,00"
401031,ARRUELALISAM6ZI,UNIDADE,UN,"187.982,00"
401032,ARRUELALISAM8ZI,UNIDADE,UN,"162,00"
401234,ARRUELALISAPO5/16,UNIDADE,UN,"641,00"
401068,ARRUELALISA1/4FEZI,UNIDADE,UN,"74.294,00"
813173,"ARRUELA1,2MMEIXODESLIZANTE",UNIDADE,UN,"36.050,00"
801225,ARTICULAÇÃODOTUBOZINCADO-BARREIRAARTICULADACANCELA,UNIDADE,UN,"90,00"
801227,ARTICULAÇÃOPRIMÁRIAZINCADA-BARREIRAARTICULADACANCELA,UNIDADE,UN,"6,00"
