"Column1","Column2","Column3","Column4","Column5"
"701172","ARTICULAÇÃO DO TUBO BRUTO - BARREIRA ARTICULADA CANCELA","201121","CHAPA AÇO P012K SAE1012/A36 - 4,75 X 1200 X 2000MM","0,06"
"701173","GUIA ESTICADOR BRUTO - BARREIRA ARTICULADA CANCELA","202058","AÇO RED TREF SAE 1020 31.00","0,268"
"701174","GUIA CABO BRUTO - BARREIRA ARTICULADA CANCELA","202036","AÇO RED TREF SAE 1020 20.00 SAE J403","0,1"
"701175","BUCHA ESTICADOR BRUTO - BARREIRA ARTICULADA CANCELA","202036","AÇO RED TREF SAE 1020 20.00 SAE J403","0,09"
"701176","ARTICULAÇÃO SECUNDÁRIA BRUTO - BARREIRA ARTICULADA CANCELA","201021","CHAPA AÇO SAE1006 - 2,25 X 1200 X 2000MM","0,443"
"701177","ARTICULAÇÃO PRIMÁRIA BRUTO - BARREIRA ARTICULADA CANCELA","201021","CHAPA AÇO SAE1006 - 2,25 X 1200 X 2000MM","0,454"
"701178","TUBO Ø1/2' BRUTO- BARREIRA ARTICULADA CANCELA","202033","AÇO RED TREF SAE 1020 12.70","0,021"
"701179","TUBO Ø12MM BRUTO- BARREIRA ARTICULADA CANCELA","202045","AÇO RED TREF SAE 1020 12.00","0,015"
"701180","CHAPA REFORÇO BRUTO - BARREIRA ARTICULADA CANCELA","201121","CHAPA AÇO P012K SAE1012/A36 - 4,75 X 1200 X 2000MM","0,211"
"701181","TAMPA ARTICULAÇÃO SECUNDÁRIA BRUTO - BARREIRA ARTICULADA CANCELA","201021","CHAPA AÇO SAE1006 - 2,25 X 1200 X 2000MM","0,455"
"701182","TUBO Ø20,5MM BRUTO - BARREIRA ARTICULADA CANCELA","202036","AÇO RED TREF SAE 1020 20.00 SAE J403","0,054"
"801225","ARTICULAÇÃO DO TUBO ZINCADO - BARREIRA ARTICULADA CANCELA","701172","ARTICULAÇÃO DO TUBO BRUTO - BARREIRA ARTICULADA CANCELA","1"
"801226","ARTICULAÇÃO SECUNDÁRIA ZINCADA - BARREIRA ARTICULADA CANCELA","701176","ARTICULAÇÃO SECUNDÁRIA BRUTO - BARREIRA ARTICULADA CANCELA","1"
"801227","ARTICULAÇÃO PRIMÁRIA ZINCADA - BARREIRA ARTICULADA CANCELA","701177","ARTICULAÇÃO PRIMÁRIA BRUTO - BARREIRA ARTICULADA CANCELA","1"
"801228","BUCHA ESTICADOR ZINCADA - BARREIRA ARTICULADA CANCELA","701175","BUCHA ESTICADOR BRUTO - BARREIRA ARTICULADA CANCELA","1"
"801229","TUBO Ø1/2' ZINCADO - BARREIRA ARTICULADA CANCELA","701178","TUBO Ø1/2' BRUTO- BARREIRA ARTICULADA CANCELA","1"
"801230","TUBO ROTATIVO LISO Ø12MM ZINCADO - BARREIRA ARTICULADA CANCELA","701179","TUBO Ø12MM BRUTO- BARREIRA ARTICULADA CANCELA","1"
"801231","CHAPA REFORÇO ZINCADA - BARREIRA ARTICULADA CANCELA","701180","CHAPA REFORÇO BRUTO - BARREIRA ARTICULADA CANCELA","1"
"801232","TAMPA ARTICULAÇÃO SECUNDÁRIA ZINCADA - BARREIRA ARTICULADA CANCELA","701181","TAMPA ARTICULAÇÃO SECUNDÁRIA BRUTO - BARREIRA ARTICULADA CANCELA","1"
"801233","TUBO Ø20,5MM ZINCADO - BARREIRA ARTICULADA CANCELA","701182","TUBO Ø20,5MM BRUTO - BARREIRA ARTICULADA CANCELA","1"
"801247","TUBO ROTATIVO RASGO Ø12MM ZINCADO - BARREIRA ARTICULADA CANCELA","701179","TUBO Ø12MM BRUTO- BARREIRA ARTICULADA CANCELA","1"
